,text
0,"RT @FundraiserDan: Keep reminding yourself this: Burning out is not mandatory.

Quick read. Self-care is even more important this month, es…"
1,#Fight #VeteransUnite #Veterans #VeteransAwareness #bookseries #mentalhealth #22TooMany #RealTalk #LetsTalk #PTSD… https://t.co/Vs3SMcaqW3
2,"You may say I'm a dreamer.. #Lennon

#JoyTrain #Joy #Love #Kindness #MentalHealth #Mindfulness #GoldenHearts #IAM… https://t.co/kq0iZN7yLH"
3,Ready To Press DTF Transfer With GOD All Thing are Possible Sunflower Leopard https://t.co/GUni1DaPt2… https://t.co/lair510Pxo
4,"RT @OkeloJavan: Mental health is an important topic that should never be ignored. 

Listening to the wisdom of these ancient sayings can pr…"
5,Great visit with @MatiH_ID @CityofSTLDOH  Bureau of Behavioral Health at our @ChestnutHealth Granite City campus… https://t.co/m9BFI4ZUwR
6,"RT @988Lifeline: The #holidayseason can be a difficult time for many. Here is a gentle reminder to set boundaries, take breaks, and put you…"
7,"RT @Mindcite_US: The most important U.S. government program NEVER created.

#MentalHealth DAM holiday merch https://t.co/k6e69cFBDz https:/…"
8,RT @NHSL_LDOT: CHRISTMAS CRAFTS with inpatients at Kylepark 🎅 @CCInitiatives #nhsoccupationaltherapy #mentalhealth https://t.co/HcdVh8aSku
9,RT @ONTSpecialNeeds: Recognizing the signs of stress in children. #mentalHealth https://t.co/5PkOlVnSq4
10,"RT @heniek_htw: #Circadian rhythm &amp; #Mentalhealth

Chronic jet lag-like may 🔼 risk of neurological disorders by disrupting the key regulato…"
11,"“Resistance is the cause of every monstrosity”. Aristotle 

Wishing you all an easeful day😊

@getinthemudpodcast… https://t.co/aXEd70GFms"
12,The Healing Benefits of HEART BEATS [Mental Health/Concentrate] #meditat... https://t.co/lH10qLrEjp via @YouTube… https://t.co/Mu59MfRHFL
